event_id,user_id,event_date,event_name,product_id,campaign_id,revenue
1,1,2025-08-07 00:00:00,visit,,5,0.0
2,1,2025-09-17 00:00:00,visit,,5,0.0
3,2,2025-12-31 00:00:00,visit,,1,0.0
4,3,2025-09-26 00:00:00,visit,,2,0.0
5,3,2025-09-26 00:20:00,add_to_cart,Electronics_54,2,0.0
6,3,2025-10-06 00:00:00,visit,,2,0.0
7,3,2025-10-15 00:00:00,visit,,2,0.0
8,4,2025-09-02 00:00:00,visit,,2,0.0
9,5,2025-07-18 00:00:00,visit,,6,0.0
10,5,2025-07-18 00:25:00,add_to_cart,Electronics_4,6,0.0
11,5,2025-07-30 00:00:00,visit,,6,0.0
12,5,2025-07-30 00:16:00,add_to_cart,Home & Garden_56,6,0.0
13,5,2025-07-30 00:38:00,purchase,Home & Garden_56,6,259.46
14,5,2025-08-05 00:00:00,visit,,6,0.0
15,5,2025-08-05 00:22:00,add_to_cart,Books_49,6,0.0
16,5,2025-08-24 00:00:00,visit,,6,0.0
17,5,2025-08-24 00:24:00,add_to_cart,Clothing_35,6,0.0
18,5,2025-08-24 00:47:00,purchase,Clothing_35,6,24.63
19,6,2025-07-12 00:00:00,visit,,6,0.0
20,6,2025-07-12 00:13:00,add_to_cart,Sports_7,6,0.0
21,7,2025-07-09 00:00:00,visit,,6,0.0
22,7,2025-08-18 00:00:00,visit,,6,0.0
23,7,2025-08-18 00:05:00,add_to_cart,Sports_71,6,0.0
24,7,2025-08-18 00:50:00,purchase,Sports_71,6,45.65
25,8,2025-11-08 00:00:00,visit,,1,0.0
26,8,2025-11-17 00:00:00,visit,,1,0.0
27,8,2025-11-17 00:14:00,add_to_cart,Clothing_44,1,0.0
28,9,2025-08-29 00:00:00,visit,,3,0.0
29,9,2025-09-04 00:00:00,visit,,3,0.0
30,9,2025-09-04 00:01:00,add_to_cart,Electronics_76,3,0.0
31,9,2025-09-04 00:59:00,purchase,Electronics_76,3,386.36
32,9,2025-09-17 00:00:00,visit,,3,0.0
33,9,2025-09-17 00:28:00,add_to_cart,Electronics_2,3,0.0
34,10,2025-09-16 00:00:00,visit,,1,0.0
35,11,2025-07-03 00:00:00,visit,,2,0.0
36,11,2025-07-03 00:06:00,add_to_cart,Clothing_57,2,0.0
37,11,2025-07-03 00:50:00,purchase,Clothing_57,2,60.84
38,11,2025-08-24 00:00:00,visit,,2,0.0
39,12,2025-12-31 00:00:00,visit,,4,0.0
40,12,2025-12-31 00:00:00,visit,,4,0.0
41,12,2025-12-31 00:20:00,add_to_cart,Home & Garden_17,4,0.0
42,13,2025-10-17 00:00:00,visit,,1,0.0
43,13,2025-10-17 00:00:00,visit,,1,0.0
44,13,2025-10-17 00:16:00,add_to_cart,Books_27,1,0.0
45,13,2025-10-18 00:00:00,visit,,1,0.0
46,13,2025-10-19 00:00:00,visit,,1,0.0
47,13,2025-10-26 00:00:00,visit,,1,0.0
48,14,2025-07-20 00:00:00,visit,,2,0.0
49,14,2025-07-20 00:25:00,add_to_cart,Home & Garden_47,2,0.0
50,14,2025-07-21 00:00:00,visit,,2,0.0
51,15,2025-07-15 00:00:00,visit,,5,0.0
52,15,2025-07-15 00:23:00,add_to_cart,Home & Garden_41,5,0.0
53,15,2025-08-03 00:00:00,visit,,5,0.0
54,15,2025-08-03 00:23:00,add_to_cart,Home & Garden_53,5,0.0
55,16,2025-07-19 00:00:00,visit,,4,0.0
56,16,2025-07-19 00:08:00,add_to_cart,Clothing_67,4,0.0
57,16,2025-08-18 00:00:00,visit,,4,0.0
58,17,2025-07-23 00:00:00,visit,,2,0.0
59,17,2025-08-04 00:00:00,visit,,2,0.0
60,17,2025-08-11 00:00:00,visit,,2,0.0
61,17,2025-08-11 00:16:00,add_to_cart,Electronics_3,2,0.0
62,17,2025-08-17 00:00:00,visit,,2,0.0
63,17,2025-08-17 00:10:00,add_to_cart,Books_50,2,0.0
64,17,2025-09-15 00:00:00,visit,,2,0.0
65,17,2025-09-15 00:08:00,add_to_cart,Clothing_5,2,0.0
66,18,2025-08-27 00:00:00,visit,,5,0.0
67,18,2025-08-27 00:13:00,add_to_cart,Home & Garden_79,5,0.0
68,19,2025-08-04 00:00:00,visit,,6,0.0
69,19,2025-08-04 00:07:00,add_to_cart,Electronics_29,6,0.0
70,19,2025-08-04 00:48:00,purchase,Electronics_29,6,346.97
71,19,2025-08-16 00:00:00,visit,,6,0.0
72,19,2025-08-21 00:00:00,visit,,6,0.0
73,19,2025-08-21 00:18:00,add_to_cart,Home & Garden_5,6,0.0
74,20,2025-08-15 00:00:00,visit,,1,0.0
75,21,2025-08-29 00:00:00,visit,,6,0.0
76,22,2025-07-25 00:00:00,visit,,6,0.0
77,23,2025-07-23 00:00:00,visit,,2,0.0
78,23,2025-07-23 00:19:00,add_to_cart,Home & Garden_97,2,0.0
79,23,2025-07-23 00:54:00,purchase,Home & Garden_97,2,37.38
80,23,2025-07-24 00:00:00,visit,,2,0.0
81,23,2025-07-28 00:00:00,visit,,2,0.0
82,23,2025-07-28 00:30:00,add_to_cart,Sports_94,2,0.0
83,23,2025-07-31 00:00:00,visit,,2,0.0
84,23,2025-08-18 00:00:00,visit,,2,0.0
85,23,2025-08-18 00:13:00,add_to_cart,Electronics_71,2,0.0
86,24,2025-08-09 00:00:00,visit,,2,0.0
87,24,2025-08-09 00:14:00,add_to_cart,Books_60,2,0.0
88,25,2025-08-14 00:00:00,visit,,8,0.0
89,26,2025-10-26 00:00:00,visit,,2,0.0
90,26,2025-10-26 00:15:00,add_to_cart,Clothing_49,2,0.0
91,27,2025-07-16 00:00:00,visit,,1,0.0
92,27,2025-07-16 00:22:00,add_to_cart,Home & Garden_35,1,0.0
93,27,2025-07-16 00:55:00,purchase,Home & Garden_35,1,206.32
94,27,2025-07-22 00:00:00,visit,,1,0.0
95,27,2025-07-22 00:26:00,add_to_cart,Electronics_36,1,0.0
96,27,2025-07-24 00:00:00,visit,,1,0.0
97,27,2025-07-24 00:18:00,add_to_cart,Clothing_99,1,0.0
98,27,2025-07-24 00:32:00,purchase,Clothing_99,1,94.24
99,27,2025-08-04 00:00:00,visit,,1,0.0
100,28,2025-08-17 00:00:00,visit,,1,0.0
101,28,2025-08-27 00:00:00,visit,,1,0.0
102,28,2025-08-27 00:19:00,add_to_cart,Electronics_40,1,0.0
103,28,2025-09-17 00:00:00,visit,,1,0.0
104,29,2025-08-28 00:00:00,visit,,6,0.0
105,29,2025-09-09 00:00:00,visit,,6,0.0
106,29,2025-09-09 00:14:00,add_to_cart,Books_28,6,0.0
107,29,2025-09-09 00:39:00,purchase,Books_28,6,47.55
108,29,2025-09-10 00:00:00,visit,,6,0.0
109,29,2025-09-10 00:01:00,add_to_cart,Electronics_57,6,0.0
110,30,2025-07-03 00:00:00,visit,,5,0.0
111,30,2025-07-22 00:00:00,visit,,5,0.0
112,30,2025-07-22 00:06:00,add_to_cart,Electronics_57,5,0.0
113,30,2025-07-22 00:39:00,purchase,Electronics_57,5,404.03
114,30,2025-08-02 00:00:00,visit,,5,0.0
115,30,2025-08-02 00:28:00,add_to_cart,Clothing_19,5,0.0
116,30,2025-08-09 00:00:00,visit,,5,0.0
117,31,2025-08-30 00:00:00,visit,,6,0.0
