user_id,signup_date,device,country,acquisition_source
1,2025-07-29,mobile,Canada,5
2,2025-12-31,mobile,USA,1
3,2025-09-19,mobile,USA,2
4,2025-08-25,desktop,Canada,2
5,2025-07-11,mobile,UK,6
6,2025-07-11,desktop,Canada,6
7,2025-07-04,mobile,Australia,6
8,2025-10-31,desktop,USA,1
9,2025-08-26,desktop,Canada,3
10,2025-09-14,desktop,USA,1
11,2025-07-02,desktop,USA,2
12,2025-12-31,desktop,USA,4
13,2025-10-17,desktop,USA,1
14,2025-07-15,mobile,USA,2
15,2025-07-13,mobile,USA,5
16,2025-07-13,mobile,India,4
17,2025-07-23,mobile,Canada,2
18,2025-08-15,mobile,Australia,5
19,2025-08-04,mobile,UK,6
20,2025-07-21,mobile,USA,1
21,2025-08-27,mobile,USA,6
22,2025-07-10,mobile,USA,6
23,2025-07-22,desktop,USA,2
24,2025-07-28,mobile,Canada,2
25,2025-08-07,desktop,UK,8
26,2025-10-02,mobile,USA,2
27,2025-07-14,desktop,USA,1
28,2025-08-14,desktop,USA,1
29,2025-08-24,desktop,USA,6
30,2025-07-03,desktop,USA,5
31,2025-08-27,mobile,Canada,6
32,2025-07-12,tablet,USA,6
33,2025-07-05,desktop,Canada,4
34,2025-12-29,desktop,USA,8
35,2025-12-31,desktop,USA,3
36,2025-10-09,mobile,India,5
37,2025-07-23,desktop,UK,6
38,2025-07-07,mobile,USA,5
39,2025-09-09,mobile,India,6
40,2025-08-05,mobile,USA,5
41,2025-07-08,desktop,USA,6
42,2025-08-11,mobile,Canada,1
43,2025-07-03,mobile,Canada,2
44,2025-11-24,mobile,USA,2
45,2025-07-19,desktop,USA,1
46,2025-09-05,desktop,India,2
47,2025-07-23,mobile,USA,1
48,2025-08-14,mobile,USA,2
49,2025-08-18,desktop,UK,5
50,2025-07-13,tablet,India,3
51,2025-12-31,desktop,USA,3
52,2025-09-30,mobile,Canada,2
53,2025-12-19,desktop,UK,2
54,2025-11-15,mobile,USA,7
55,2025-08-25,mobile,Canada,5
56,2025-12-03,mobile,Australia,5
57,2025-07-06,mobile,USA,2
58,2025-07-14,desktop,USA,6
59,2025-07-03,mobile,India,2
60,2025-07-25,mobile,Canada,3
61,2025-07-31,mobile,USA,8
62,2025-07-20,mobile,UK,5
63,2025-10-16,mobile,Canada,5
64,2025-07-27,mobile,Canada,6
65,2025-07-21,mobile,India,6
66,2025-08-17,desktop,USA,6
67,2025-07-10,desktop,USA,2
68,2025-10-07,desktop,UK,1
69,2025-07-05,mobile,USA,2
70,2025-12-31,desktop,UK,2
71,2025-09-29,desktop,USA,2
72,2025-07-14,desktop,USA,7
73,2025-07-01,desktop,UK,6
74,2025-10-12,mobile,Canada,2
75,2025-09-13,tablet,Canada,6
76,2025-09-18,mobile,UK,3
77,2025-09-28,mobile,USA,7
78,2025-07-05,mobile,USA,3
79,2025-07-28,mobile,Canada,2
80,2025-07-08,tablet,USA,2
81,2025-10-30,mobile,Canada,5
82,2025-08-29,mobile,UK,2
83,2025-07-25,desktop,USA,5
84,2025-07-05,mobile,Canada,6
85,2025-07-23,mobile,USA,3
86,2025-07-24,desktop,UK,2
87,2025-09-18,desktop,USA,8
88,2025-08-31,mobile,USA,4
89,2025-11-11,desktop,UK,1
90,2025-08-08,mobile,UK,1
91,2025-07-08,mobile,Canada,1
92,2025-09-15,mobile,Canada,5
93,2025-09-26,mobile,Canada,6
94,2025-08-20,desktop,USA,3
95,2025-09-28,desktop,UK,1
96,2025-08-11,mobile,UK,3
97,2025-08-15,mobile,USA,8
98,2025-08-04,desktop,UK,4
99,2025-07-02,mobile,Australia,8
100,2025-07-07,mobile,USA,6
101,2025-07-02,tablet,India,1
102,2025-08-31,desktop,USA,6
103,2025-07-24,tablet,USA,6
104,2025-08-13,mobile,USA,4
105,2025-11-23,desktop,UK,2
106,2025-07-18,mobile,USA,5
107,2025-08-02,mobile,India,1
108,2025-09-24,mobile,India,3
109,2025-07-16,mobile,Canada,3
110,2025-07-05,mobile,UK,8
111,2025-07-21,mobile,Australia,6
112,2025-07-11,mobile,India,2
113,2025-12-09,desktop,UK,4
114,2025-10-09,mobile,Canada,2
115,2025-08-31,mobile,UK,7
116,2025-11-03,mobile,UK,6
117,2025-10-08,mobile,USA,2
118,2025-07-13,desktop,UK,5
119,2025-11-14,mobile,USA,5
120,2025-08-17,desktop,USA,2
121,2025-10-09,mobile,Canada,6
122,2025-11-16,mobile,Australia,4
123,2025-07-24,desktop,Australia,6
124,2025-07-08,desktop,UK,4
125,2025-07-16,mobile,UK,1
126,2025-08-03,desktop,USA,2
127,2025-10-12,mobile,Canada,1
128,2025-10-29,desktop,USA,7
129,2025-07-01,desktop,USA,6
130,2025-08-13,desktop,Canada,6
131,2025-08-02,tablet,USA,2
132,2025-07-16,mobile,USA,1
133,2025-07-08,desktop,India,6
134,2025-07-26,mobile,USA,7
135,2025-12-22,mobile,USA,1
136,2025-07-24,mobile,USA,4
137,2025-08-14,mobile,USA,1
138,2025-09-13,desktop,USA,6
139,2025-07-28,mobile,Canada,6
